partner_name,site_name,site_phone,web_addr,address,search_extracted_emails,search_extracted_phones,_site_country
KWICK FOX SOLUTIONS LTD,KWICK FOX SOLUTIONS LTD,+260977178916,https://www.kwickfox.co.zm,"F/610 FOXDALE, LUSAKA, ZAMBIA",,+260977178916,ZAMBIA
Liquid Intelligent Technologies Zambia,LIQUID INTELLIGENT TECHNOLOGIES ZAMBIA,+260211374632,https://zm.liquidhome.tech/,"ELUNDA II BUILDING 3RD FLOOR LONGACRES, LUSAKA, LUSAKA, ZAMBIA",,+260211374632,ZAMBIA
MFI Document Solutions Ltd,MFI DOCUMENT SOLUTIONS,+260211256534,https://www.groupmfi.com,"PLOT 1193,LUNZUA ROAD,, P O BOX 31665, LUSAKA, ZAMBIA",,+260211256534,ZAMBIA
Micronics Consulting (Z) Ltd,MICRONICS CONSULTING Z LTD,+260955491371,"https://Plot 65766, Airport Rd Postnet 274, P/B E10, Arcades Lusaka","SILICON HOUSE, PLOT 2350/M57 , AIRPORT ROAD, ZAMBIA, PO BOX 35045, LUSAKA, ZAMBIA",,+260955491371,ZAMBIA
MICROSOURCE LTD,MICROSOURCE LTD,+260211220395,https://www.microsourceltd.com/,"46, KWACHA ROAD, OPP OLYMPIA SCHOOL, OLYMPIA PARK, OLYMPIA PARK, LUSAKA, ZAMBIA",,+260211220395,ZAMBIA
MTN BUSINESS,MTN ZAMBIA,+260966750750,https://www.mtn.com/,"PLOT NO A/255/609, ZAMBEZI ROAD, LUSAKA, ZAMBIA",,"+260966750750, +2673188967",ZAMBIA
NetOne I.T Limited,NETONE INFORMATION TECHNOLOGY,+260211372600,http://www.netone.co.zm/netoneit/index.php,"PLOT NO12553 ZAMBEZI ROAD, LUSAKA, ZAMBIA",,"+260211372600, +260211293172",ZAMBIA
NETROOTS CONSULTING LTD,NETROOTS CONSULTING LTD,+260971775125,https://netrootsconsulting.com/,"20158, WATER WORKS STREET, LIBALA SOUTH, LUSAKA, LUSAKA PROVINCE, ZAMBIA, LUSAKA, ZAMBIA",,+260971775125,ZAMBIA
ONETECH ZAMBIA LIMITED,ONETECH ZAMBIA LTD,+260968793352,https://onetech.skyageitsolutions.com/,"PLOT NO 687, OFF MUMBWA ROAD GARDEN SHALOM, LUSAKA, ZAMBIA, LUSAKA, ZAMBIA",,+260968793352,ZAMBIA
Paratus Telecom (Pty) Ltd,Paratus Telecomunications (PTY) LTD - ZM,250211262698,https://paratus.africa/,"4124 MUTENGULENI ROAD, SUNNINGDALE, LUSAKA, ZAMBIA",,"+264833001000, 250211262698, +2673975030, +258842450488",ZAMBIA
PNET SYSTEMS LTD,PNET SYSTEMS LTD,+260979150948,https://samuelmwaz.github.io/PNET-Systems/first#services,"3B NTOYO ROAD WOODLANDS, LUSAKA ZAMBIA, LUSAKA, ZAMBIA",,+260979150948,ZAMBIA
ProComm,PROCOMM,+260978966962,https://procomm.cloud/,"17 LAGOS ROAD, LUSAKA, ZAMBIA",,"+260978966962, +2673132926, +2634797792, +258844511860",ZAMBIA
Proffesional outcomes Limited,PROFFESIONAL OUTCOMES LTD,+260976073088,https://www.profout.com,"8 MUNGULUBE ROAD NORTHMEAD LUSAKA, LUSAKA, ZAMBIA",,"000, +260976073088",ZAMBIA
R A Consulting Services,R A CONSULTING SERVICES,+260211295000,https://racsafrica.com/,"OLYMPIA PARK, LUSAKA, ZAMBIA",,"+23058514385, +2673939773, +261344286738, +260211295000",ZAMBIA
RAPIDUS AFRICA,RAPIDUS AFRICA,260765154905,https://www.rapidusafrica.com/,"LAKE ROAD, LUSAKA, LUSAKA, ZAMBIA",,260765154905,ZAMBIA
SILENSEC ZAMBIA LTD,SILENSEC ZAMBIA LTD,+260973684075,https://silensec.com/,"9TH FLOOR SUN SHARE TOWER PLOT 15585, OLYMPIA, KATIMA MULILO RD, LUSAKA, LUSAKA, ZAMBIA",,+260973684075,ZAMBIA
Smartcom Tech Limited,Smartcom Tech Limited,+260966941433,https://www.smartcom.co.zm,"House No. 317/26 Mpatamatu, Luanshya, ZAMBIA",,+260966941433,ZAMBIA
StarLabs Limited,STARLABS LTD,+260950369759,https://www.starlabs.co.zm/,"604 BAOBAD DRIVE, ROMA PARK, LUSAKA, LUSAKA, ZAMBIA",,"+260211233226, +260950369759",ZAMBIA
Syntax Timewise Limited,SYNTAX TIMEWISE LTD,+260971763541,https://www.syntaxtimewise.com/,"PLOT 5550 MAGOYE ROAD, KALUNDU AREA, LUSAKA, ZAMBIA",,+260971763541,ZAMBIA
SYNTH TECH LTD,SYNTH TECH LTD,+260969446545,https://synthtechzambia.com,"PLOT NO 4645 TITO ROAD RHODESPARK LUSAKA ZAMBIA, PLOT NO 4645 TITO ROAD RHODESPARK LUSAKA ZAMBIA, LUSAKA, ZAMBIA",,+260969446545,ZAMBIA
SYSTEMS AND INFORMATION TECHNOLOGY,SYSTEMS & INFORMATION TECHNOLOGY ZAMBIA LTD,+260966896734,https://www.sit-africa.com/,"2 PLOT 25271 BUILDING, LUSAKA, ZAMBIA",,"+260966896734, +2673907671",ZAMBIA
Techmasters Zambia Limited,Techmasters Zambia Limited,+260974347737,https://www.techmasters.co.zm/,"PLOT # 37861 ALICK NKHATA RD, LUSAKA, LUSAKA, ZAMBIA",,+260974347737,ZAMBIA
VERTICAL TECHNOLOGY SERVICES LTD,VERTICAL TECHNOLOGY SERVICES ZAMBIA LIMITED,+260969936367,http://www.verticaltechservices.com/aboutus.html,"C/O MOSHA & COMPANY, PLOT 31, OLYMPIA PARK, MANDA HILL ROAD, LUSAKA, ZAMBIA",,"+260969936367, +2304542102",ZAMBIA
Virtua Technologies,PSC Corporate Park,+260211353015,https://www.virtuatechnologies.com.na/,"ALICK NKHATA ROAD, LUSAKA, ZAMBIA",,"+260211353015, +26461259501",ZAMBIA
VIZTRANIX INFORMATION TECHNOLOGY LIMITED,VIZTRANIX INFORMATION TECHNOLOGY LIMITED,773003000,https://www.viztranix.co.zm/,"5978, BENEKALE ROAD, NORTHMEAD, LUSAKA, ZAMBIA",,773003000,ZAMBIA
