partner_name,site_name,address,site_id
COMPUTER UNION CO LTD,COMPUTER UNION CO LTD,   ,34917
LOCATEE AG,LOCATEE AG,   ,3199593
AWECREATION PTE LTD,AWECREATION PTE LTD,   ,3129500
Cost & Co,COST & COMPANY,   ,3589300
BETA LINKS SOLUTIONS,BETA LINKS SOLUTIONS,   ,4120665
VAISHNAVI ENTERPRISES,VAISHNAVI ENTERPRISES,   ,3996926
NEUROTECH,NEUROTECH CI,   ,3036724
IT Valley,IT VALLEY,   ,3465566
ENVIGO CORPORATION,ENVIGO CORPORATION,   ,4145917
THOUSAND INTERNATIONAL COMPANIES SA DE CV,THOUSAND INTERNATIONAL COMPANIES SA DE CV,   ,3636297
BOYETTES GOOD COMPANY INC DBA CMIT SOLUTIONS OF GREENVILLE,BOYETTES GOOD COMPANY INC DBA CMIT SOLUTIONS OF GREENVILLE,   ,4136682
allnet.italia,ALLNETITALIA SPA,   ,3084652
NTI,NTI SOLUTIONS,   ,3449341
Triada Networks LLC,TRIADA NETWORKS LLC,   ,3646919
SYMPHONY,SYMPHONY,   ,4023464
NETIST,NETIST,   ,4064792
