Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Sale price,Categories,Images
simple,B2B-1053,REACH-IN CHILLERS AND FREEZERS,1,0,visible,,Registered Office:,1,100,,,Kitchen Refrigeration Products,"https://www.bluestarindia.com/img/about-usBG.jpg, https://www.bluestarindia.com/media/404650/reachin-gp-gc-326x220.png, https://www.bluestarindia.com/media/404652/reachin-s-series-326x220.png, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1054,UNDERCOUNTER CHILLERS AND FREEZERS,1,0,visible,,Registered Office:,1,100,,,Kitchen Refrigeration Products,"https://www.bluestarindia.com/img/about-usBG.jpg, https://www.bluestarindia.com/media/404655/under-counter-gc-series-326x220.png, https://www.bluestarindia.com/media/404656/under-counter-s-series-326x220.png, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1055,MEDICAL REFRIGERATION PRODUCTS,1,0,visible,,,1,100,,,Commercial Refrigeration,"https://www.bluestarindia.com/img/about-usBG.jpg, https://www.bluestarindia.com/media/404659/medical-freezer.jpeg, https://www.bluestarindia.com/media/404661/pharma-refrigerator.jpeg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1056,ICE MACHINES,1,0,visible,,Registered Office:,1,100,,,Commercial Refrigeration,"https://www.bluestarindia.com/img/about-usBG.jpg, https://www.bluestarindia.com/media/78823/ice-machines-2.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1057,ICE MACHINES,1,0,visible,,"Today, ice plays many unusual roles. A style element for cocktail drinks. A cool bedding for delicacies. A preserver of life-saving drugs. The list is as long as it is diverse. And to meet your specific usage requirements of ice in the best possible way, you can always rely on the expert, Blue Star.",1,100,,,Ice Machines,"https://www.bluestarindia.com/media/55991/coldstorage-commercial-banner.jpg, https://www.bluestarindia.com/media/78823/ice-machines-2.jpg, https://www.bluestarindia.com/media/217811/ice-machines-1.jpg, https://www.bluestarindia.com/img/download.png, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1058,MODULAR COLD ROOMS,1,0,visible,,Modular Cold Rooms are standard preservation chambers built at site to desired dimensions and cooling specifications.,1,100,,,Cold Storages,"https://www.bluestarindia.com/media/55993/coldstorage-commercial-banner.jpg, https://www.bluestarindia.com/media/56426/modular-coldroom.jpg, https://www.bluestarindia.com/img/download.png, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1059,BANANA RIPENING COLD ROOMS,1,0,visible,,THE PERFECT CHOICE FOR PROFITABILITY.,1,100,,,Cold Storages,"https://www.bluestarindia.com/media/55994/coldstorage-commercial-banner.jpg, https://www.bluestarindia.com/media/56427/banana-ripening-11-6-14.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1060,REFRIGERATION UNITS,1,0,visible,,Registered Office:,1,100,,,Cold Storages,"https://www.bluestarindia.com/media/55995/coldstorage-commercial-banner.jpg, https://www.bluestarindia.com/media/56424/hermetic.jpg, https://www.bluestarindia.com/media/56425/air-cooled-condesing.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1061,REFRIGERATION SYSTEMS HERMETIC SERIES,1,0,visible,,IT'S NOT JUST PRESERVATION. IT'S THE ULTIMATE IN PRESERVATION.,1,100,,,Refrigeration Units,"https://www.bluestarindia.com/media/55996/coldstorage-commercial-banner.jpg, https://www.bluestarindia.com/media/56424/hermetic.jpg, https://www.bluestarindia.com/img/download.png, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1062,REFRIGERATION SYSTEMS SEMI-HERMETIC SERIES (SUPER TROPICALISED),1,0,visible,,PACKAGED FOR POWER-PACKED PERFORMANCE,1,100,,,Refrigeration Units,"https://www.bluestarindia.com/media/55997/coldstorage-commercial-banner.jpg, https://www.bluestarindia.com/media/56425/air-cooled-condesing.jpg, https://www.bluestarindia.com/media/1052/water-cooled-contensing.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1063,PUF INSULATED PANELS,1,0,visible,,"The efficiency, hygiene and life of a cold room depend on the panels and accessories that go into making up the structure.",1,100,,,Cold Storages,"https://www.bluestarindia.com/media/55999/coldstorage-commercial-banner.jpg, https://www.bluestarindia.com/media/71010/puf-panels-thumb.jpg, https://www.bluestarindia.com/img/download.png, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1064,MORTUARY CHAMBERS,1,0,visible,,BUILT TO LAST,1,100,,,Speciality Products,"https://www.bluestarindia.com/media/56198/products-banner.jpg, https://www.bluestarindia.com/media/78785/mortuary-cabinet-02.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1065,SPECIALITY PRODUCTS,1,0,visible,,Registered Office:,1,100,,,Products,"https://www.bluestarindia.com/media/56196/products-banner.jpg, https://www.bluestarindia.com/media/78785/mortuary-cabinet-02.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1066,BUSINESS OVERVIEW,1,0,visible,,"Blue Star is one of India’s leading integrated MEP service providers, with over 80 years of project experience while delivering expert HVACR solutions across the Building, Industrial, and Infrastructure segments. The Company’s Electro-Mechanical Projects Group (EMPG) has built a strong reputation over the past couple of decades as a one-stop turnkey provider of both integrated and discrete MEP services, managing large-scale projects for airports, hospitals, hotels, retail malls, commercial complexes, factories, data centres, electrical substations, railway electrification, and rural water supply. Supported by a robust global supply chain and a commitment to excellence, Blue Star’s EMPG has successfully contributed to engineering marvels across diverse geographies, earning the trust of clients worldwide.",1,100,,,Mep And More,"https://www.bluestarindia.com/media/56068/projects-banner.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1067,BUILDINGS SERVICES,1,0,visible,,,1,100,,,Buildings,"https://www.bluestarindia.com/media/70946/buildings-banner.jpg, https://www.bluestarindia.com/media/56213/buildings-banner-small.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1068,CREDENTIALS,1,0,visible,,,1,100,,,Buildings,"https://www.bluestarindia.com/media/70947/buildings-banner.jpg, https://www.bluestarindia.com/media/70948/buildings-banner-small.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1069,NOTABLE ORDERS,1,0,visible,,,1,100,,,Buildings,"https://www.bluestarindia.com/media/70949/buildings-banner.jpg, https://www.bluestarindia.com/media/70950/buildings-banner-small.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1070,CASE STUDIES,1,0,visible,,,1,100,,,Buildings,"https://www.bluestarindia.com/media/70951/buildings-banner.jpg, https://www.bluestarindia.com/media/70952/buildings-banner-small.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1071,INDUSTRIAL SERVICES,1,0,visible,,,1,100,,,Industrial,"https://www.bluestarindia.com/media/70957/industry-banner.jpg, https://www.bluestarindia.com/media/70958/industry-banner-small.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1072,FACTORIES,1,0,visible,,,1,100,,,Industrial,"https://www.bluestarindia.com/img/about-usBG.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1073,INFRASTRUCTURE SERVICES​,1,0,visible,,,1,100,,,Infrastructure,"https://www.bluestarindia.com/media/56228/projects-banner.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1074,INFRASTRUCTURE CREDENTIALS,1,0,visible,,,1,100,,,Infrastructure,"https://www.bluestarindia.com/media/56230/projects-banner.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1075,NOTABLE ORDERS,1,0,visible,,,1,100,,,Infrastructure,"https://www.bluestarindia.com/media/56232/projects-banner.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1076,CASE STUDIES,1,0,visible,,,1,100,,,Infrastructure,"https://www.bluestarindia.com/media/56234/projects-banner.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1077,ROOM AIR CONDITIONERS,1,0,visible,,,1,100,,,Products,"https://www.bluestarindia.com/img/about-usBG.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1078,WATER PURIFIERS,1,0,visible,,,1,100,,,Products,"https://www.bluestarindia.com/img/about-usBG.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1079,ROOM AIR CONDITIONERS,1,0,visible,,We use cookies,1,100,,,Www.Bluestarindia.Com,"https://www.bluestarindia.com/media/343550/7_8_water-cooler-office-v2_1920-x-648-4.png, https://www.bluestarindia.com/media/343551/7_8_water-cooler-office-v2_640-x-612-1.png, https://www.bluestarindia.com/media/404608/bluestar_summer_capaign_1920x648.jpg, https://www.bluestarindia.com/media/404609/bluestar_summer_capaign_640x612.jpg, https://www.bluestarindia.com/media/404610/1920-x-648.jpg, https://www.bluestarindia.com/media/404611/640-x-612-revised.jpg, https://www.bluestarindia.com/media/294798/close.png, https://www.bluestarindia.com/img/Home-Products/Room-AC.jpg, https://www.bluestarindia.com/img/Home-Products/Water-Purifier.jpg, https://www.bluestarindia.com/img/Home-Products/Air-Purifier.jpg, https://www.bluestarindia.com/img/Home-Products/Air-Cooler.jpg, https://www.bluestarindia.com/media/70938/empg-tile.jpg, https://www.bluestarindia.com/img/product-thumb-2.jpg, https://www.bluestarindia.com/img/product-thumb-4.jpg, https://www.bluestarindia.com/media/51023/water-coolers.png, https://www.bluestarindia.com/img/project-thumb-4.jpg, https://www.bluestarindia.com/img/project-thumb-5.jpg, https://www.bluestarindia.com/img/project-thumb-6.jpg, https://www.bluestarindia.com/img/project-thumb-7.jpg, https://www.bluestarindia.com/img/project-thumb-8.jpg, https://www.bluestarindia.com/img/project-thumb-9.jpg, https://www.bluestarindia.com/img/project-thumb-10.jpg, https://www.bluestarindia.com/img/project-thumb-11.jpg, https://www.bluestarindia.com/media/241084/facebook.png, https://www.bluestarindia.com/media/241081/x.png, https://www.bluestarindia.com/media/241082/linkedin.png, https://www.bluestarindia.com/media/241083/instagram.png, https://www.bluestarindia.com/media/241080/youtube.png"
simple,B2B-1080,Oops! Something went wrong.,1,0,visible,,"We're sorry, but an unexpected error occurred. Please try again later.",1,100,,,Waterpurifiers,
simple,B2B-1081,"Blue Star
Blue Star",1,0,visible,,This site uses cookies. By clicking Accept or continuing to browse the site you are agreeing to our use of cookies. Learn more in our Privacy Policy.,1,100,,,Consumer.Bluestarindia.Com,"https://consumer.bluestarindia.com/cdn/shop/files/AC_1_432x432_923407fa-f2a0-4c07-a662-6e1e39c399cd.jpg, https://consumer.bluestarindia.com/cdn/shop/files/AC_2_432x432_52bd1a8f-d78f-4451-8518-5ccac25ef9f8.jpg, https://consumer.bluestarindia.com/cdn/shop/files/PA35MMA_432x432_5f5a6b52-1405-4b9f-9bea-a85360253b96.jpg, https://consumer.bluestarindia.com/cdn/shop/files/CA120PMH_432x432_3e07d0fb-580a-4460-9d5b-980f7da40b18.jpg, https://consumer.bluestarindia.com/cdn/shop/files/Refrigeration_Banners_900x437-231024_5bf719d4-7c1d-40a9-8d25-30c7f820f8ef.png, https://consumer.bluestarindia.com/cdn/shop/files/Untitled_design_-_2024-08-05T124909.801_1.png, https://consumer.bluestarindia.com/cdn/shop/files/preview_images/5ac5f4a698694d8395279f50f91b30c6.thumbnail.0000000000.jpg, https://consumer.bluestarindia.com/cdn/shop/files/preview_images/ea260ce503964c7ab2b797c87565e501.thumbnail.0000000000.jpg, https://consumer.bluestarindia.com/cdn/shop/files/AC-Banner_790x415_2a405a3d-145e-430c-84cd-326aa93c7033.jpg, https://consumer.bluestarindia.com/cdn/shop/files/Air-Cooler-Banner_790x415_003.jpg, https://consumer.bluestarindia.com/cdn/shop/files/Air-purifier-_790x415_eb26fc94-4cb3-435e-9375-af986d0a6525.jpg, https://consumer.bluestarindia.com/cdn/shop/files/Refrigeration-Banner_790x415_da6a4efb-76fc-4476-bd6f-38869d9651dd.jpg, https://consumer.bluestarindia.com/cdn/shop/files/HD-Desktop_1800x473_08110126-182e-42ae-bd5d-6fc6c244d49b.jpg, https://consumer.bluestarindia.com/cdn/shop/files/SEE-Flagship-1_HP-1800x473_98e560b1-fcdb-4670-b165-82aff31ab730.jpg, https://consumer.bluestarindia.com/cdn/shop/files/Hot_Cold-Flagship-HP-1800x473_af74a4d9-32f8-4676-b40d-23e257bc8be0.jpg, https://consumer.bluestarindia.com/cdn/shop/files/Anti-Virus-Flagship-HP-1800x473_ee0460e1-7ce6-45e9-a529-fcb52cacc59e.jpg, https://consumer.bluestarindia.com/cdn/shop/files/ic712qcus_gallery-images-01_14_2.png, https://consumer.bluestarindia.com/cdn/shop/files/Gallery_Images_01_580e195f-913a-47c5-95f5-a159c52caeb2.png, https://consumer.bluestarindia.com/cdn/shop/files/1_IC518ZNURS-IDUFrontView.png, https://consumer.bluestarindia.com/cdn/shop/files/ic318vnus_ic318vnus-gallery-images-01.png"
