Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Sale price,Categories,Images
simple,IA518TXFT,IA518TXFT | 1.5 TON | 5 STAR | FIELD TRIAL UNIT,1,0,visible,,,1,100,74000.00,35500.00,exclude-from-search,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage01_075f1695-f632-4720-8186-ed1763eb0810.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage02_2ad2fcca-923e-4e7f-9bb1-4420065375cc.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage03_11612dfa-48bb-4bd1-b9ad-7e79a8851e97.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage04_6e837849-2fb9-430d-97ea-82315033cbf9.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage05_8abdeec7-a9ed-4e0d-ad38-411cc3bcdc63.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage06_2f22dc32-6970-4662-a3d0-6391dda1434c.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage07_400eb27a-131c-4a92-b925-b3859e754f3f.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage08_0d0eb88c-dde2-48c5-ad0e-09ca0de27956.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImage09_ce26dea9-a788-40ca-a565-42381b725f57.jpg"
simple,IA518TXU,INVERTER AC | T SERIES |  1.5 TON |  5 STAR | 2026 BEE LABEL,1,0,visible,,,1,100,74000.00,47990.00,Air Conditioners,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages01_c256f6c9-f2bf-4736-a4c0-1a0f9bbf0978.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages02_b39cd4a8-154c-4c3b-8243-c18eef4af39d.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages03_397f94ce-7294-41fe-a099-46a831f1fd45.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages04_0ef55154-9438-403c-8857-ea2814e39678.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages05_4a915ead-f2ae-4bcb-9445-f022ff0caeca.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages06_22b2342d-cf7d-44ee-a85e-b0e9337f151b.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages07_44518b9c-9021-42d8-b3cd-749bcb150e36.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages08_eb531449-2661-41c1-837f-ff9f4af3ce8b.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages09_497d29d5-0ddf-44b8-8892-5d530594e36e.jpg"
simple,MR60-GB,MR60-GB | Mini Bar | 47 Litres | 2 Star | 2025 BEE LABEL,1,0,visible,,,1,100,11990.00,9490.00,Mini Bar,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/MR60-GB.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/MR60-GB_Side1_0.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/MR60-GB_Side2_0.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/MR60-GB_Back_0.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/MR60-GB_IsoLeft_0.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/MR60-GB_IsoRight_0.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/MR60-GB_Open_0.png"
simple,IA518DXU,INVERTER AC | D SERIES | 1.5 TON | 5 STAR | 2026 BEE LABEL,1,0,visible,,,1,100,74000.00,47990.00,Air Conditioners,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages01_f3f8f272-fe36-4990-af8f-4889bf2a65a3.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages02_4d8fa0c9-f770-448f-abf0-af4f9e62ec6d.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages03_297e56f7-500f-4d48-8258-ffe95221f419.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages04_b701f8a0-51a6-4dda-bd2b-f7ff99ed2a2f.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages05_79d4d5ff-862b-42ad-9da1-54ab31941e48.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages06_969ccb27-9537-4e1f-a746-08868ffb9635.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages07_8e9711fd-2cd4-46a4-9c1f-6249e4b55aae.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages08_63a6023c-6daa-4b17-bd0d-b0aeacb09c8a.jpg"
simple,IA322TXU,INVERTER AC | T SERIES |  2 TON |  3 STAR | 2026 BEE LABEL,1,0,visible,,,1,100,69000.00,48990.00,Air Conditioners,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages01_ee26b374-2a53-4221-9ac6-70f049f6e453.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages02_b4a571d4-d1cd-41ca-9bae-9a0eda4595c5.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages03_6295e94f-55fa-4d89-a015-09231b584243.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages04_a63177bd-afa0-4298-b534-c4caddfa0710.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages05_04780933-d206-40ad-a3d1-26955e1ca3da.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages06_8124c576-73e2-44e6-8994-325b8a90d6d0.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages07_3afd5ece-f1c5-4521-bf64-0cedaf71afdd.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages08_e67cf631-9fa1-4ece-86b7-6100d0a87e9d.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/Gallery_Images_09.jpg"
simple,IA318TXU,INVERTER AC | T SERIES |  1.5 TON |  3 STAR | 2026 BEE LABEL,1,0,visible,,,1,100,60000.00,36990.00,Air Conditioners,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages01_ee26b374-2a53-4221-9ac6-70f049f6e453.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages02_b4a571d4-d1cd-41ca-9bae-9a0eda4595c5.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages03_6295e94f-55fa-4d89-a015-09231b584243.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages04_a63177bd-afa0-4298-b534-c4caddfa0710.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages05_04780933-d206-40ad-a3d1-26955e1ca3da.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages06_8124c576-73e2-44e6-8994-325b8a90d6d0.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages07_3afd5ece-f1c5-4521-bf64-0cedaf71afdd.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages08_e67cf631-9fa1-4ece-86b7-6100d0a87e9d.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages09_cddb8e7b-d125-4b58-9879-e95e1fddd5c7.jpg"
simple,IA318DXU,INVERTER AC | D SERIES | 1.5 TON | 3 STAR | 2026 BEE LABEL,1,0,visible,,,1,100,60000.00,37490.00,Air Conditioners,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages01_14f22634-b53f-438e-bf65-9f4c1d0a000e.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages02_3e400579-42d4-4e40-ac58-a64e392bc93b.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages03_f4363dd7-b5b2-4b4e-a64a-ce8aa326ce9d.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages04_331d210b-ae20-47b5-ba70-3484b7843956.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages05_7a6caa3d-e629-4d9e-a0c8-1edc2c020014.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages06_5373e3c6-af48-4050-9ab5-41a66e12eef2.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages07_ae1d87a4-6d4c-4f6e-ba26-9aa3a956e8a7.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages08_303b9fdb-d150-463f-9508-2c6fe57189b0.jpg"
simple,IA512QXUS,INVERTER AC | Q SMART WI-FI SERIES | 1 TON | 5 STAR | 2026 BEE LABEL,1,0,visible,,,1,100,62500.00,38990.00,Air Conditioners,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages01_96164da9-aea8-41e8-8d41-1a856cb0595f.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages02_edd57043-92e6-428f-bde3-5b1ffc1b8712.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages03_f2124c11-aaab-43e9-a389-6aa428b79dd1.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages04_a8e2e378-31cc-448f-8201-1558bab06f8f.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages05_dc2779ec-d8cd-4ebc-993c-bab254ae4fc8.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages06_5df19eaf-96c1-498d-b75c-35762ff2430d.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages07_caeaa057-0129-4c95-aa6c-725a4c8d38c8.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages08_d194117b-3c35-44f2-9894-b18b36bcb2e3.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/Gallery_Images_09_d63c208b-0c3b-43e6-a1ea-bb10c073beb4.jpg"
simple,IA318QXUS,INVERTER AC | Q SMART WI-FI SERIES | 1.5 TON | 3 STAR | 2026 BEE LABEL,1,0,visible,,,1,100,61500.00,38990.00,Air Conditioners,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages01_96164da9-aea8-41e8-8d41-1a856cb0595f.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages02_edd57043-92e6-428f-bde3-5b1ffc1b8712.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages03_f2124c11-aaab-43e9-a389-6aa428b79dd1.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages04_a8e2e378-31cc-448f-8201-1558bab06f8f.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages05_dc2779ec-d8cd-4ebc-993c-bab254ae4fc8.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages06_5df19eaf-96c1-498d-b75c-35762ff2430d.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages07_caeaa057-0129-4c95-aa6c-725a4c8d38c8.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages08_d194117b-3c35-44f2-9894-b18b36bcb2e3.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages09_31e9118d-5af2-40c9-b5e3-8ed97e6e5581.jpg"
simple,IA318QXU,INVERTER AC | Q SERIES | 1.5 TON | 3 STAR | 2026 BEE LABEL,1,0,visible,,,1,100,60500.00,36990.00,Air Conditioners,"https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages01_75d5ded4-0d1e-4aa2-aa17-7e1e8549b0c0.png, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages02_c9b40979-1bc3-4b4b-8c2b-10d3e13dabc2.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages03_1c80692c-ba1d-4b1b-b281-efc3e6d69587.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages04_ff8c2ddf-f785-480f-9cad-f302c75a1875.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages05_101e1d28-46b6-4f20-bf9f-42eedf120710.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages06_a27c75cb-286d-45c2-93f8-dd6d934701c5.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages07_74d05249-52b1-4b05-b810-427051c17105.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages08_27261d8f-1260-439a-a3d1-ccfc8c2f457a.jpg, https://cdn.shopify.com/s/files/1/0888/8297/0937/files/GalleryImages09_702c35a7-d631-4e06-823d-db173ee560af.jpg"
